synset	lemma	annotation	goodness label	confidence	language
01084900-a	penuh	KEEP	O	None	None
15224486-n	masa	KEEP	O	1	Polish
06845599-n	merek	KEEP	O	1	Polish
90000187-n	Rumah Makan Minang	KEEP	None	None	None
04697442-n	kesederhanaan	KEEP	L	1	English
14524661-n	suasana hati	KEEP	X	1	Portuguese
01843380-a	bersiaplah	KEEP	X	None	None
03306385-n	ekspres	KEEP	L	1	Portuguese
tag	clemma	KEEP	None	None	None
90000158-n	serangoon road	KEEP	None	None	None
02493030-v	berkunjung	KEEP	O	None	None
01188725-v	menginginkan	KEEP	Y	None	None
00920336-v	dapat melihat	KEEP	L	None	None
01169067-v	makan	DELETE	O	None	None
01948450-v	berselancar	KEEP	None	None	None
80001269-v	tiada	KEEP	None	None	None
08556386-n	kejauhan	KEEP	L	1	English
00233335-v	membatasi	KEEP	Y	None	None
04849241-n	kebaikan	KEEP	Y	1	English
00973677-a	trendi	KEEP	Y	None	None
01192510-v	menikmati	KEEP	O	None	None
14486122-n	antisipasi	KEEP	O	1	English
00074201-r	balik	KEEP	O	None	None
07573696-n	jalanan	KEEP	None	1	Finnish
00212604-r	pernah	DELETE	O	None	None
07417405-n	darurat	KEEP	Y	1	English
03441112-n	sarung tangan	KEEP	Y	2	English, Greek
09282724-n	busa	KEEP	O	1	Slovene
00553140-a	menurut	KEEP	Y	None	None
00161630-r	perlahan-lahan	KEEP	O	None	None
10193719-n	pemburu	KEEP	O	1	English
08561081-n	utara	KEEP	O	1	English
00838367-n	makan	KEEP	O	1	English
01326528-v	menyirnakan	DELETE	O	None	None
03322836-n	farmhouse	KEEP	None	1	Portuguese
00402535-n	pengisian	KEEP	O	1	Slovene
03221720-n	pintu	KEEP	Y	1	Polish
01002740-v	mengambil gambar	DELETE	O	None	None
02685951-v	ke	DELETE	O	None	None
05217168-n	rupa	DELETE	O	1	English
00173761-n	cara	KEEP	O	1	English
02671780-n	asesoris	KEEP	None	1	Polish
00056930-v	menyambut	KEEP	O	None	None
03128519-n	krim	KEEP	Y	1	English
02072159-v	meluap	KEEP	O	None	None
03748162-n	outlet	KEEP	None	1	English
90000148-n	Mustafa Center	KEEP	None	None	None
00196122-a	mendebarkan	KEEP	O	None	None
01150559-v	mengacu	KEEP	O	None	None
02966829-a	brazil	KEEP	None	None	None
01539444-a	biasa	DELETE	O	None	None
09260466-n	kristal	KEEP	O	1	English
14513259-n	lingkup	KEEP	O	1	Spanish
14437552-n	dipuja	KEEP	None	1	English
00283327-a	keperakan	KEEP	O	None	None
06929742-n	bahasa mandarin	KEEP	None	1	Polish
02203373-a	ke-10	KEEP	None	None	None
02062670-a	sama	KEEP	O	None	None
14411884-n	mode	KEEP	O	1	English
03386011-n	benteng	KEEP	O	1	Spanish
06261744-n	multimedia	KEEP	O	1	Portuguese
02647497-v	berterusan	DELETE	None	None	None
02603699-v	manusia	DELETE	O	None	None
03670208-n	limousine	KEEP	None	1	English
07573696-n	hidangan	KEEP	Y	1	Finnish
90000315-n	hajjah	KEEP	None	None	None
00035058-r	seringkali	KEEP	X	None	None
02604760-v	insan	DELETE	O	None	None
02148788-v	tampilkan	KEEP	X	None	None
10059582-n	penggemar	KEEP	O	1	Greek
02163746-v	lihat	KEEP	None	None	None
02202146-a	kedua	KEEP	O	None	None
02685390-v	mengarungi	KEEP	O	None	None
00027167-n	lokasi-lokasi	DELETE	X	1	Portuguese
06694540-n	rekomendasi	KEEP	O	1	English
08429052-n	jajaran	KEEP	O	1	Slovene
02708420-v	melewati	KEEP	None	None	None
02020590-v	membentuk	DELETE	O	None	None
00594337-v	kenal	KEEP	Y	None	None
00539009-a	padat	KEEP	O	None	None
02397637-v	dijadikan	KEEP	None	None	None
04334599-n	street	KEEP	None	1	English
02742638-v	hadapkan	KEEP	None	None	None
02005948-v	tiba	KEEP	O	None	None
01565921-v	menghabiskan	DELETE	O	None	None
00968730-a	eksotik	KEEP	Y	None	None
05924920-n	kayu ukur	DELETE	None	1	English
02716739-a	ekonomi	KEEP	O	None	None
