synset	label	lemma
00001740-a	X	pengetahuan atau wewenang
00001740-n	O	entitas
00001740-r	O	akapela
00001740-v	O	bernapas
00001740-v	O	menarik napas
00001740-v	X	mengambil napas
00001837-r	X	di era Kristen
00001930-n	X	ujud fisik
00002098-a	X	tidak memiliki : sarana
00002296-r	X	periode sebelum Common Era
00002684-n	X	objek fisik
00002843-a	X	menghadap dasar
00002956-a	X	terutama mengenai otot
00003131-a	X	terutama mengenai otot
00003133-v	X	hyperventilation
00003316-v	X	mengucapkan bunyi
00003431-v	O	bergelegak
00003431-v	X	tersendawa
00003553-a	X	hadir dalam kenyataan
00003826-v	X	tersendak
00004032-v	X	mengambil napas panjang
00004227-v	O	menapaskan
00004258-n	X	mahluk hidup
00004475-n	O	organisme
00004475-n	X	makhluk hidup
00004722-r	O	sekedar
00004980-a	X	tidak singkat
00005041-v	O	menarik napas
00005041-v	O	mencerup
00005205-a	Y	absolut
00005473-a	X	kurang kompromi
00005526-v	O	berembus
00005526-v	O	mengah
00005526-v	O	mengembus
00005526-v	O	tercungap
00005526-v	X	celana
00005526-v	X	dada menampi
00005526-v	X	ngos-ngosan
00005526-v	X	serawal
00005674-r	X	menghawatirkan
00006024-n	O	heterotrof
00006024-n	X	heterotrofik
00006802-v	O	berembus
00006802-v	O	mengembus
00006802-v	X	dada menampi
00007012-v	O	berembus
00007012-v	O	embus
00007012-v	O	mengembus
00007012-v	O	menyia-nyiakan
00007015-r	O	sebagian
00007096-a	X	menyerap kelembaban
00007208-a	X	mampu menyerap cairan
00007328-v	O	menguapkan
00007739-v	O	bekerlip
00007739-v	O	berkejap
00008195-v	X	mengedip-ngedipkan
00008299-v	O	berkejap
00008435-v	O	berkejap
00008595-a	X	kurangnya daya serap
00008602-v	O	menyipitkan
00008997-r	O	sampai ke sumsum
00009346-a	O	menahan diri
00009618-a	X	berlatih penyangkalan diri
00009631-v	O	sentakan
00009884-v	X	berdetak tidak teratur
00010435-v	O	berulah
00010435-v	X	berperilaku
00010466-r	X	pentungan polisi
00011327-a	X	mirip babi
00011665-a	X	terlalu rakus
00011852-v	X	optimasi
00012362-a	X	ditandai dengan konsep
00012932-a	X	bersangkutan dengan ide
00012944-v	O	sentimentil
00013160-a	X	bukan abstrak atau imajiner
00013172-v	X	mengerjakan sembarangan
00013328-v	O	main-main
00013615-v	O	berperan
00013615-v	O	berulah
00013615-v	O	main-main
00013858-v	O	kaki tangan
00013887-a	O	lacak
00014034-v	O	bergempa
00014034-v	O	bergoyang-goyang
00014034-v	O	mengopyok
00014201-v	O	geletar
00014201-v	O	gelitar
00014201-v	O	gigil
00014201-v	O	ligih
00014201-v	O	menggigis
00014549-v	O	bergulir
00014549-v	O	ganjak
00014549-v	O	menggulir
00014549-v	O	mengisarkan
00015388-n	O	binatang buas
00015388-n	O	hewan
00015388-n	X	animal
00015388-n	X	backstabber
00015388-n	X	blind
00015388-n	X	boots & boys
00015388-n	X	cunxtuesday
00015388-n	Y	margasatwa
00015498-v	O	tidur-tidur ayam
00015854-a	X	berlimpahan
00015946-v	X	tidur musim dingin
00015953-r	X	bukan main-main
00016135-a	X	semakin deras
00016247-a	X	terlalu berlimpah
00016532-a	X	menuangkan secara berlimpah
00016573-v	O	terkantuk-kantuk
00016756-a	X	kekurangan jumlah
00017031-v	O	mendengkur
00017186-a	X	dipengaruhi oleh kelangkaan
00017282-v	O	mengedrop
00017352-a	X	mengalami perlakuan kejam
00017674-v	O	berbentrok
00017782-a	X	dapat diterima
00017865-v	O	memensiunkan
00018043-r	O	tanggung jawab
00018069-a	X	diterima di bank
00018158-v	O	meloncer
00018158-v	O	membubung
00018158-v	X	menyingsinng
00018222-a	X	sepenuhnya dapat diterima
00018526-v	O	menggairahkan
00018526-v	O	menggelitik
00018813-v	O	menggairahkan
00018813-v	O	menggelitik
00019128-n	X	benda alami
00019182-v	X	membangunkan lagi
00019273-v	X	membuat ngantuk
00019792-v	O	menggenjot
00019792-v	O	menyabet
00019982-v	O	memborok
00020241-a	X	kurangnya jalur
00020259-v	O	begadang
00020280-r	O	sampai hari kiamat
00020280-r	X	sampai akhir jaman
00020671-v	O	menghipnosis
00020671-v	O	terpesona
00020671-v	X	menghipnotis
00020926-v	O	terpesona
00021065-v	O	memproduksi
00021065-v	X	terpadamkan
00021265-n	O	nutrisi
00021403-a	X	tidak mengakomodasi
00021592-a	X	tidak baik hati
00021679-v	O	terbius
00021734-n	O	nutrisi
00021766-a	O	akurat
00021766-a	O	eksak
00021878-r	O	adakalanya
00021939-n	O	artefak
00022316-v	X	menentramkan
00022686-v	O	menggairahkan
00022686-v	O	merangsangkan
00023100-n	X	ciri-ciri psikologis
00023278-a	X	sangat akurat
00023646-v	O	pingsan
00023854-a	X	ditandai dengan kesalahan
00024047-v	O	tersadar
00024241-a	X	tidak tepat sasaran
00024279-v	O	membarui
00024279-v	O	memperbarui
00024619-a	X	dalam kebiasaan itu
00024834-a	X	tidak terbiasa untuk
00025138-a	X	jarang terkena
00025238-a	X	mengandung asam
00025290-r	O	di mana
00025290-r	X	dimanapun juga
00025470-a	X	memiliki karakteristik asam
00025654-v	O	berhura-hura
00025654-v	O	berleha-leha
00025728-a	O	alkalis
00025985-v	X	sedikit santai
00026051-a	X	cenderung menjadi basa
00026192-n	O	merasa
00026294-a	X	menghasilkan larutan dasar
00026385-v	O	berhura-hura
00026385-v	O	berleha-leha
00026385-v	O	rileks
00026385-v	X	melambat
00026734-v	O	leyeh-leyeh
00027064-v	X	melakukan pemanasan
00027074-a	O	alkalis
00027247-a	X	diketahui atau mengakui
00027268-v	O	membarui
00027268-v	O	memperbarui
00027268-v	O	mengulurkan
00027705-v	O	membarui
